bioclimatic_zone,structure,category,physiography_limit,code,map_class,target,macrogroup_code,macrogroup,group_code,group
3. Boreal,deciduous tree,mesic vegetation,riverine,214,Poplar (-White Spruce) Active Floodplain,,M300,North American Boreal Flooded & Rich Swamp Forest,G548,Alaska-Yukon Boreal Floodplain Forest
3. Boreal,shrub,mesic vegetation,riverine,221,Alaska-Yukon Alder-Willow Active Floodplain,,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G1194,Western Boreal Shrub & Graminoid Floodplain
3. Boreal,shrub,mesic vegetation,riverine,222,Alaska-Yukon Willow Active Floodplain,,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G1194,Western Boreal Shrub & Graminoid Floodplain
3. Boreal,herbaceous,mesic vegetation,riverine,223,Alaska-Yukon Herbaceous Active Floodplain,,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G1194,Western Boreal Shrub & Graminoid Floodplain
3. Boreal,unvegetated,barren,riverine,224,Alaska-Yukon Barren & Sparsely Vegetated Active Floodplain,alliance,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G1194,Western Boreal Shrub & Graminoid Floodplain
3. Boreal,herbaceous,wet vegetation,riverine,225,Alaska-Yukon Sedge Wet Meadow (Mineral/Riverine),,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G528,Western Boreal Wet Meadow & Marsh
3. Boreal,herbaceous,wet vegetation,riverine,226,Alaska-Yukon Sedge-Calamagrostis Wet Meadow (Mineral/Riverine),,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G528,Western Boreal Wet Meadow & Marsh
3. Boreal,herbaceous,wet vegetation,riverine,227,Alaska-Yukon Forb-Graminoid Meadow Wet (Mineral/Riverine),,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G528,Western Boreal Wet Meadow & Marsh
3. Boreal,herbaceous,freshwater marsh,none,228,Alaska-Yukon Freshwater Marsh,,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G528,Western Boreal Wet Meadow & Marsh
3. Boreal,NULL,NULL,NULL,229,Arctic-Boreal Freshwater Aquatic Vegetation,omit,M871,Boreal Freshwater Aquatic Vegetation,G769,North American Boreal Freshwater Aquatic Vegetation
3. Boreal,shrub,wet vegetation,none,241,Alaska-Yukon Birch-Willow Wet,subgroup,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G865,Western Boreal Wet Birch - Willow Low Shrubland
3. Boreal,shrub,wet vegetation,none,242,Alaska-Yukon Willow Wet,subgroup,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G865,Western Boreal Wet Birch - Willow Low Shrubland
3. Boreal,shrub,wet vegetation,none,243,Alaska-Yukon Alder-Willow Wet,group,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G866,Western Boreal Wet Alder - Willow Tall Shrub Swamp
3. Boreal,shrub,wet vegetation,burned,244,Alaska-Yukon Recent Burn Recovering Birch-Willow Wet,,M537,North American Boreal Shrubland & Grassland,G865,Western Boreal Wet Birch - Willow Low Shrubland
3. Boreal,unvegetated,barren,none,250,Alaska-Yukon Barren & Sparsely Vegetated,group,M895,"North American Boreal Cliff, Scree & Rock",G822,"Western Boreal Cliff, Scree & Rock"
4. Arctic,various,complex,none,252,Arctic Non-Tussock Polygonal Complex,complex,complex,complex,complex,complex
4. Arctic,various,complex,none,254,Arctic Tussock Tundra Polygonal Complex,complex,complex,complex,complex,complex
4. Arctic,various,complex,none,256,Arctic Peatland Polygonal Complex,complex,complex,complex,complex,complex
4. Arctic,shrub,peatland,ombrotrophic,261,"Arctic Shrub-Sedge Peatland, Ombrotrophic",alliance,M001ak,Arctic Permafrost Bog and Acidic Fen,G0001ak,"Arctic Permafrost Peatland, Ombrotrophic"
4. Arctic,herbaceous,peatland,ombrotrophic,262,"Arctic Sphagnum-Sedge Peatland, Ombrotrophic",alliance,M001ak,Arctic Permafrost Bog and Acidic Fen,G0001ak,"Arctic Permafrost Peatland, Ombrotrophic"
